canton,source,url,title,type,depth,parent_url
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/jahresbericht.html,Jahresbericht,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet/zahlenundfakten.html,Zahlen & Fakten,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:96c5a5d8-1ca7-46bb-be11-7e795d4f5f80/RZ_IV_Bern_DigitalerJahresbericht_Kennzahlen_A4_neue%20Zahlen.pdf,Weitere Kennzahlen,pdf,2,https://www.ivbe.ch/de/ueber-uns/portraet/zahlenundfakten.html
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/iv-arbeitgeberin/benefits.html,Die IV als Arbeitgeberin,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/iv-arbeitgeberin/offene-stellen.html,IV-Stelle Kanton Bern / Office AI Canton de Berne Stellenmarkt,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/iv-arbeitgeberin/rad-arzt.html,Ärztin/Arzt beim RAD,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/iv-arbeitgeberin/lehrstellen.html,Lehrstellen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/formulare_merkblaetter/formulare.html,Formulare,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:7735c792-b325-4c07-910f-a0e062e8842d/Formular_Vollmacht_Akteneinsicht%20und%20Auskunft_2022_barrierefrei.pdf,Vollmacht Akteneinsicht und Auskunft,pdf,2,https://www.ivbe.ch/de/formulare_merkblaetter/formulare.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:0f5da0e7-5a32-4ff5-8d87-3382dfa4d0a5/Offizielles_OLU-Formular_D_r.pdf,Gesuch für die Kostenübernahme von Off-label-Use-Medikamenten durch die IV,pdf,2,https://www.ivbe.ch/de/formulare_merkblaetter/formulare.html
BE,be_iv_canton,https://www.ivbe.ch/de/formulare_merkblaetter/merkblaetter.html,Merkblätter,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:af6b5524-a6cc-4682-a8f8-77a21396e6e1/Merkblatt_Psychotherapeuten.pdf,Kostenvergütung Psychotherapeutinnen und Psychotherapeuten,pdf,2,https://www.ivbe.ch/de/formulare_merkblaetter/merkblaetter.html
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/invaliditaet.html,Invalidität & Anspruch,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/anmeldung.html,Anmeldung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/abklaerung.html,Abklärungen & Gutachten,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:b6170f48-4ab4-4189-a56f-8fc50c83d4a8/20240415_Liste%20Sachverst%C3%A4ndige%20monodisziplin%C3%A4re%20Gutachten.pdf,Liste Sachverständige für monodisziplinäre Gutachten,pdf,2,https://www.ivbe.ch/de/prozesse/abklaerung.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:0d4b45e2-a64d-4379-a083-41ab65095884/Art.%2041b%20IVV_2025_BE_260220_DE_1016.pdf,Öffentliche Liste über beauftragte Sachverständige und Gutachterstellen im Jahr 2024,pdf,2,https://www.ivbe.ch/de/prozesse/abklaerung.html
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/eingliederung.html,Früherfassung & Eingliederung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/geldleistungen.html,Geld- & Sachleistungen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/prozesse/medizinische_massnahmen.html,Medizinische Massnahmen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/uebersicht_veranstaltungen.html,Veranstaltungen und Fachseminare,page,1,https://www.ivbe.ch/
